Player,Team,Status,Cap Hit (M$)
,,TOTAL POUR Pleka,148.74
Jake Oettinger,DAL,Pouding_,8.25
Justin Carbonneau,STL,Pouding_,0.975
Nick Suzuki,MTL,Pouding_,7.875
Jesper Bratt,NJD,Pouding_,7.875
Liam Greentree,LAK,Pouding_,0.9425
Pavel Dorofeyev,VGK,Pouding_,1.835
Trevor Connelly,VGK,Pouding_,0.975
Logan Cooley,UTA,Pouding_,0.95
Ilya Protas,WSH,Pouding_,0.856667
Mattias Ekholm,EDM,Pouding_,6.25
Nikita Kucherov,TBL,Pouding_,9.5
Brock Faber,MIN,Pouding_,8.5
Sam Rinzel,CHI,Pouding_,0.941667
Jackson LaCombe,ANA,Pouding_,0.925
Jani Nyman,SEA,Pouding_,0.891666
Devon Toews,COL,Pouding_,7.25
Marco Kasper,DET,Pouding_,0.886666
Adam Fantilli,CBJ,Pouding_,0.95
Kevin Lankinen,VAN,Pouding_,4.5
Cooper Simpson,BOS,Pouding_,0.775
Moritz Seider,DET,Pouding_,8.55
Mathew Barzal,NYI,Pouding_,9.15
Aleksander Barkov,FLA,Pouding_,10.0
Joel Eriksson Ek,MIN,Pouding_,0.775
Zach Hyman,EDM,Pouding_,5.5
Dustin Wolf,CGY,Pouding_,0.85
,,TOTAL POUR Pouding_,106.73
William Nylander,TOR,SamBleau,11.5
David Pastrnak,BOS,SamBleau,11.25
Vaclav Nestrasil,CHI,SamBleau,0.775
David Reinbacher,MTL,SamBleau,0.886666
Mikhail Gulyayev,COL,SamBleau,0.775
Rickard Rakell,PIT,SamBleau,5.0
Alex Ovechkin,WSH,SamBleau,9.5
Colton Parayko,STL,SamBleau,6.5
Nikita Zadorov,BOS,SamBleau,5.0
Timo Meier,NJD,SamBleau,8.8
Darcy Kuemper,LAK,SamBleau,5.25
Bill Zonnon,PIT,SamBleau,0.775
Morgan Rielly,TOR,SamBleau,7.5
Matthew Schaefer,NYI,SamBleau,0.975
Justin Brazeau,PIT,SamBleau,1.5
Aatu Raty,VAN,SamBleau,0.775
Scott Morrow,NYR,SamBleau,0.916667
Bo Horvat,NYI,SamBleau,8.5
John Tavares,TOR,SamBleau,4.38928
Zack Bolduc,MTL,SamBleau,0.775
Stuart Skinner,EDM,SamBleau,2.6
Emil Andrae,PHI,SamBleau,0.903333
Kevin Fiala,LAK,SamBleau,7.875
,,TOTAL POUR SamBleau,102.72
