Player,Cap Hit (M$)
Owen Tippett,6.2
Thomas Harley,4.0
Dougie Hamilton,9.0
Zack Bolduc,0.775
Jake Neighbours,3.75
Alex Newhook,2.9
Oliver Kapanen,0.925
Sam Reinhart,8.625
J.T. Miller,8.0
Trevor Zegras,5.75
Teuvo Teravainen,5.4
Ivan Demidov,0.940833
Nino Niederreiter,4.0
Kyle Palmieri,4.75
Vasily Podkolzin,1.0
Connor Brown,3.0
Elvis Merzlikins,5.4
Frederik Andersen,2.75
Zach Werenski,9.583333
Mathew Barzal,9.15
Oliver Ekman-Larsson,3.5
Mikael Granlund,7.0
Ryan Hartman,4.0
Ian Cole,2.8
Will Smith,0.95
Filip Hronek,7.25
Jake DeBrusk,5.5
Artem Zub,0.775
Alexander Nikishin,0.925
Mika Zibanejad,8.5
Marcus Johansson,0.8
Lukas Dostal,6.5
Andrei Kuzmenko,4.3
Josh Doan,0.925
Boone Jenner,3.75
Stuart Skinner,2.6
Jimmy Snuggerud,0.95
Sean Couturier,7.75
Nazem Kadri,7.0
Kris Letang,6.1
Ryan Leonard,0.95
Tyson Foerster,3.75
Dylan DeMelo,4.9
Quinn Hughes,7.85
Gabriel Vilardi,7.5
Mason McTavish,7.0
Jackson Blake,0.905833
Jason Zucker,4.75
Anthony Stolarz,2.5
Linus Ullmark,8.25
Shayne Gostisbehere,3.2
Ilya Mikheyev,4.75
Jake Sanderson,8.05
Charlie McAvoy,9.5
Brock Boeser,7.25
Claude Giroux,2.0
Arseny Gritsyuk,0.925
A.J. Greer,0.85
Joel Armia,2.5
Thomas Chabot,8.0
Brandt Clarke,0.863334
Will Cuylle,0.775
Moritz Seider,8.55
Evan Rodrigues,3.0
Noah Cates,4.0
Mattias Samuelsson,4.285714
Artemi Panarin,11.642857
Noah Dobson,9.5
Drake Batherson,4.975
Marco Rossi,5.0
Zach Benson,0.95
Martin Fehervary,2.675
William Karlsson,5.9
Connor Dewar,1.1
Rasmus Dahlin,11.0
Justin Faulk,6.5
Jake McCabe,4.513102
Morgan Barron,1.85
Yakov Trenin,3.5
Cole Smith,1.0
Matty Beniers,0.775
Tyler Bertuzzi,5.5
Akira Schmid,0.875
Miro Heiskanen,8.45
Zeev Buium,0.966667
Evander Kane,5.125
Bobby McMann,1.35
Ross Colton,4.0
Jean-Gabriel Pageau,5.0
Mark Kastelic,1.566667
Alex Iafallo,3.666666
Nikita Kucherov,9.5
Chris Kreider,6.5
Shane Wright,0.886666
Alex Laferriere,4.1
Adam Klapka,1.25
Logan Stanley,1.25
Sam Carrick,1.0
Jonathan Marchessault,5.5
Brock Nelson,7.5
Tyler Myers,3.0
Cam Talbot,2.5
Vince Dunn,7.35
Josh Manson,4.5
Taylor Raddysh,1.5
Simon Edvinsson,0.894167
Simon Nemec,0.918333
Jack Quinn,3.375
Jeremy Lauzon,2.0
Kaedan Korczak,0.825
Michael McCarron,0.9
Andrei Vasilevskiy,9.5
Lucas Raymond,8.075
Roman Josi,9.059
Morgan Rielly,7.5
Rasmus Andersson,4.55
Pavel Buchnevich,8.0
Brent Burns,1.0
Mason Lohrei,3.2
Esa Lindell,5.25
Trevor Moore,4.2
Evan Bouchard,10.5
Brandon Montour,7.142857
Anze Kopitar,7.0
Jiri Kulich,0.886666
Aaron Ekblad,6.1
Seth Jones,9.5
Chandler Stephenson,6.25
Alex Carrier,0.775
Nathan Walker,0.775
Christian Dvorak,5.4
Darcy Kuemper,5.25
Adam Fantilli,0.95
Carter Verhaeghe,7.0
Erik Karlsson,11.5
Colton Parayko,6.5
Bryan Rust,5.125
Travis Sanheim,6.25
Ivan Provorov,8.5
Bobby Brink,1.5
Jordan Martinook,3.05
Ilya Sorokin,8.25
Brandon Hagel,6.5
Tyler Toffoli,6.0
Taylor Hall,3.166667
Morgan Frost,4.375
Pius Suter,4.125
Mikael Backlund,4.5
Ryan Pulock,6.15
Brendan Gallagher,6.5
Vladislav Namestnikov,3.0
Jonas Johansson,1.25
Luke Hughes,9.0
Travis Konecny,8.75
KAndre Miller,7.5
Ryan Shea,0.9
Lawson Crouse,4.3
John Marino,4.4
Joel Edmundson,3.85
Robert Thomas,8.125
Sean Monahan,5.5
Ryan McLeod,5.0
Victor Olofsson,1.575
Sam Malinski,1.4
Eetu Luostarinen,3.0
Ryan Lomberg,2.0
Nate Schmidt,3.5
Jordan Kyrou,8.125
Sam Rinzel,0.941667
Gustav Forsling,5.75
Mattias Ekholm,6.25
Anton Forsberg,2.25
Jordan Staal,2.9
Brandon Tanev,2.5
Jonah Gadjovich,0.775
John Gibson,6.4
Brayden Point,9.5
Shea Theodore,7.425
Beckett Sennecke,0.9425
Casey Mittelstadt,5.75
Viktor Arvidsson,4.0
Nick Perbix,0.775
Damon Severson,6.25
Parker Wotherspoon,1.0
Jared McCann,5.0
Brock Faber,8.5
Logan Stankoven,0.814167
Bowen Byram,6.25
David Perron,4.0
Kevin Bahl,5.35
Mikey Eyssimont,0.775
Tyler Seguin,9.85
Denton Mateychuk,0.886666
Colton Dach,0.825
Jack McBain,4.25
Ryan McDonagh,6.75
Brett Pesce,5.5
Tanner Jeannot,3.4
Dakota Joshua,3.25
Jonathan Drouin,4.0
Adam Henrique,3.0
Mason Appleton,2.9
Josh Mahura,0.9075
Eric Robinson,1.7
Jackson LaCombe,0.925
Neal Pionk,7.0
Jani Nyman,0.891666
Simon Holmstrom,3.625
Erik Haula,3.15
Sean Kuraly,1.85
Jordan Binnington,6.0
Vladimir Tarasenko,4.75
Noah Laba,0.87
Anthony Beauvillier,2.75
Will Borgen,0.775
David Rittich,1.0
Drew Doughty,11.0
Ridly Greig,3.25
Andrew Peeke,2.75
Ty Dellandrea,1.3
J.T. Compher,5.1
Parker Kelly,0.775
Jet Greaves,0.8125
Patrick Kane,3.0
Tony DeAngelo,1.75
Charlie Coyle,5.25
Joel Farabee,5.0
Ben Chiarot,4.75
Ty Emberson,1.3
Alexis Lafreniere,7.45
Braden Schneider,2.2
Jeff Skinner,3.0
Mario Ferraro,3.25
Yanni Gourde,2.333333
Tommy Novak,0.775
Jamie Oleksiak,4.6
MacKenzie Weegar,6.25
Kent Johnson,1.8
Jonathan Toews,2.0
Trent Frederic,3.85
Mikey Anderson,4.125
Sean Walker,3.6
William Carrier,2.0
Zachary Aston-Reese,0.775
Brandon Bussi,0.775
Eric Comrie,0.825
Mason Marchment,4.5
Filip Chytil,4.4375
Mathieu Olivier,3.0
Jack Roslovic,1.5
Matt Rempe,0.975
Nikita Nesterenko,0.7875
Scott Mayfield,3.5
Andrew Copp,5.625
Tyson Kozak,0.775
Mike Reilly,1.1
Pontus Holmberg,1.55
Tanner Pearson,1.0
Ryan Reaves,1.35
Ross Johnston,1.1
Nikolaj Ehlers,8.5
Dylan Holloway,2.290457
Devon Toews,7.25
Adam Larsson,5.25
Nick Seeler,2.7
Tyler Tucker,0.925
Tye Kartye,1.25
Nic Dowd,3.0
Noel Acciari,2.0
Michael Carcone,0.775
Alex Nedeljkovic,2.5
Brayden McNabb,3.65
Phillip Danault,5.5
Drew Helleson,1.1
Collin Graf,0.941667
Anthony Duclair,3.5
Adam Gaudette,2.0
Max Sasson,0.775
Zach Whitecloud,2.75
Jalen Chatfield,3.0
Spencer Stastney,0.825
Vitek Vanecek,1.5
Sam Bennett,8.0
Marco Kasper,0.886666
Connor McMichael,2.1
Mavrik Bourque,0.95
Rasmus Sandin,4.6
Vladislav Gavrikov,7.0
David Tomasek,1.2
Jake Evans,2.85
Juuso Parssinen,1.25
Charlie Lindgren,3.0
Owen Power,8.35
Oliver Bjorkstrand,5.4
Andre Burakovsky,5.5
Peyton Krebs,1.45
