Player,Cap Hit (M$)
Bryce Pickford,0.775
Benjamin Kevan,0.775
Gabriel DAigle,0.775
Mathieu Cataford,0.801666
Miguel Marques,0.775
Georgi Merkulov,0.775
Nikolai Kovalenko,0.89625
Adam Sykora,0.806666
Ville Husso,2.2
Laurent Brossoit,3.3
Justin Robidas,0.825
Tarin Smith,0.775
Tyler Brennan,0.87
Thomas Milic,0.841667
Alexander Kerfoot,3.0
Danila Klimovich,0.833333
Scott Ratzlaff,0.835
Akil Thomas,0.775
Ayrton Martino,0.8675
Matyas Sapovaliv,0.803334
Johnathan Kovacevic,4.0
Felix Nilsson,0.775
Kim Saarinen,0.84
Spencer Gill,0.890833
Jan Mysak,0.775
Grigori Denisenko,0.775
Prokhor Poltapov,0.775
William Whitelaw,0.775
Andrew Gibson,0.865
Jordan Greenway,4.0
Bogdan Konyushkov,0.775
Kristian Epperson,0.775
Conrad Fondrk,0.775
Torey Krug,6.5
Tristan Bertucci,0.846666
Samuel Jonsson,0.855
Linus Eriksson,0.775
Jack Berglund,0.775
Atro Leppanen,0.975
Max Psenicka,0.775
Domenic DiVincentiis,0.830556
Juraj Pekarcik,0.838333
Luca Pinelli,0.846666
Maxim Strbak,0.775
William Stromgren,0.900833
Chase Stillman,0.863334
Adam Beckman,0.775
Brodie Ziemer,0.775
James Malatesta,0.841666
Aleksi Heimosalmi,0.805833
Simon Robertsson,0.8675
Alex Ciernik,0.775
Dylan James,0.775
Peyton Kettles,0.775
Anthony Romani,0.775
Vladislav Kolyachonok,0.775
Tyson Jugnauth,0.95
Dans Locmelis,0.86
Hugo Alnefelt,0.850833
Maksim Berezkin,0.775
Viktor Klingsell,0.775
Antonio Stranges,0.775
Nathan Villeneuve,0.940833
Juuso Valimaki,2.0
Theodor Hallquisth,0.775
Ruslan Khazheyev,0.845
Kirill Zarubin,0.775
Egor Afanasyev,0.8
Julian Lutz,0.923333
Calle Odelius,0.815
Tomas Suchanek,0.87
Noel Fransen,0.775
Samuel Bolduc,0.775
Jakub Malek,0.8675
Riley Kidney,0.836667
Jan Jenik,0.775
Hayden Paupanekis,0.775
Emil Pieniniemi,0.806666
Kevin Hayes,7.142858
Zac Funk,0.905
Adam Jecho,0.8725
Kalan Lind,0.806666
Leon Muggli,0.908333
Matvei Petrov,0.803333
Eric Pohlkamp,0.775
Jakub Stancl,0.836111
Cruz Lucius,0.775
Rieger Lorenz,0.775
Vadim Zherenko,0.775
Anthony Richard,0.775
Vojtech Cihar,0.775
Alexander Alexeyev,0.775
Kamil Bednarik,0.775
Adam Kleber,0.775
Luca Romano,0.775
Kirill Gerasimyuk,0.875
Marc Del Gaizo,0.775
Gabriel Eliasson,0.775
Gavin McKenna,0.775
Alexander Rykov,0.775
Tomas Mrsic,0.775
Pheonix Copley,0.775
Ethan Cardwell,0.8675
Semyon Vyazovoy,0.775
Stephen Halliday,0.95
Noah Warren,0.865
Alexander Perevalov,0.775
Kaapo Kahkonen,1.15
Eriks Mateiko,0.856667
William Dufour,0.859167
Jack Peart,0.925
Valtteri Puustinen,0.775
Jiri Patera,0.775
Matthew Villalta,0.775
Rasmus Kumpulainen,0.865833
Martin Misiak,0.878333
Quinn Finley,0.775
Clarke Caswell,0.775
Rafael Harvey-Pinard,0.775
Luke Tuch,0.9125
Ryerson Leenders,0.775
Mikhail Ilyin,0.775
Sawyer Mynio,0.806666
Mateo Nobert,0.775
Jacob Perreault,0.863334
Nikita Tolopilo,0.775
Matthew Gard,0.775
Kirill Kudryavtsev,0.825
Alex Steeves,0.85
Tristan Lennox,0.8675
Jakub Dvorak,0.84
Samu Salminen,0.775
Michael Buchinger,0.838333
Tinus Luc Koblar,0.775
Lassi Thomson,0.775
Magnus Chrona,0.775
Bryce McConnell-Barker,0.838333
Calen Addison,0.775
Dmitri Rashevsky,0.775
Frederic Brunet,0.86
Noah Chadwick,0.800556
Noah Dower Nilsson,0.775
Alex Huang,0.775
Paul Ludwinski,0.9
Charlie Trethewey,0.775
Arttu Hyry,0.87
Mikael Pyyhtia,0.775
Carey Terrance,0.886667
Yevgeni Volokhin,0.775
Arseni Radkov,0.775
Michal Svrcek,0.775
Olivier Rodrigue,0.775
Lukas Fischer,0.931667
Martin Chromiak,0.775
Shane Lachance,0.925
Melvin Fernstrom,0.8725
Massimo Rizzo,0.925
Tyler Thorpe,0.868333
Nikita Prishchepov,0.806667
Nikita Alexandrov,0.775
Tommy Lafreniere,0.775
Logan OConnor,2.5
Owen Protz,0.775
Cameron Allen,0.775
Roni Hirvonen,0.856667
Tuomas Uronen,0.8525
Logan Sawyer,0.775
Caedan Bankier,0.8675
Colin Ralph,0.775
Dmitri Gamzin,0.775
Vsevolod Komarov,0.835
Daemon Hunt,0.775
Avery Hayes,0.83
Gavin Hayes,0.865
Ivan Morozov,0.925
William Villeneuve,0.775
Filip Eriksson,0.775
Arttu Karki,0.775
Lasse Boelius,0.775
Danton Heinen,2.25
Alexander Suzdalev,0.814999
Nicholas Kempf,0.775
Jakub Skarek,0.775
Ondrej Becher,0.865
John Farinacci,0.775
Tyler Hopkins,0.775
Will Skahan,0.775
Benoit-Olivier Groulx,0.8125
Viggo Gustafsson,0.775
Amir Miftakhov,0.775
Ryan McAllister,0.896667
Timur Mukhanov,0.775
Alexander Nylander,0.775
Aidan Thompson,0.895
Carey Price,10.5
Arsenii Sergeev,0.775
Aram Minnetian,0.775
AJ Spellacy,0.874167
Luke Haymes,0.875
Mac Swanson,0.775
Herman Traff,0.775
Mans Goos,0.775
Isaak Phillips,0.8125
Alex Barre-Boulet,0.775
Liam Pettersson,0.775
Tristen Robins,0.7975
David Bedkowski,0.775
Francesco DellElce,0.775
Alexander Kisakov,0.859167
Carl Grundstrom,1.8
Tomas Lavoie,0.8725
Matt Maggio,0.87
Patrik Hamrla,0.775
Karsen Dorwart,0.975
Artyom Gonchar,0.775
Vinzenz Rohrer,0.95
Oliver Wahlstrom,1.0
Benjamin Gaudreau,0.775
Vadim Moroz,0.775
David Spacek,0.8625
Raoul Boilard,0.775
Aiden Celebrini,0.775
Yan Kuznetsov,0.8125
Egor Sokolov,0.775
Taylor Makar,0.925
Blake Montgomery,0.775
Carson Wetsch,0.775
Aleksanteri Kaskimaki,0.87
Matvei Shuravin,0.775
Tim Washe,0.775
Cooper Black,0.95
Kieren Dervin,0.775
Mikkel Eriksen,0.775
Victor Johansson,0.775
Devin Kaplan,0.921667
Matvei Korotky,0.775
Aidan Lane,0.775
Andre Lee,0.775
Borya Valis,0.8725
Tyson Hinds,0.829444
Christian Humphreys,0.775
Viljami Marjala,0.8725
Sean Barnhill,0.775
Quinton Burns,0.838333
Danny Zhilkin,0.803333
Sam Lafferty,2.0
Ilya Fedotov,0.775
Liam Foudy,0.775
Ryan Graves,4.5
Vladimir Grudinin,0.775
Ruslan Iskhakov,0.855
Jack Pridham,0.775
Jacob Quillan,0.875
Donovan Sebrango,0.775
Callum Tung,0.8725
Jett Woo,0.775
Kirill Dolzhenkov,0.775
Domenick Fensore,0.775
Vojtech Hradec,0.775
David Lewandowski,0.775
Kole Lind,0.775
Coulson Pitre,0.858334
Ethan Procyszyn,0.775
Nico Sturm,2.0
Adam Ingram,0.775
Ville Ottavainen,0.8675
Philip Svedeback,0.775
Miroslav Holinka,0.918333
John St. Ivany,0.775
Antti Tuomisto,0.81375
Jeremy Loranger,0.775
Brady Peddle,0.775
Blake Vanek,0.775
Burke Hood,0.775
Hunter Shepard,0.775
Cam Squires,0.838333
Erik Brannstrom,0.9
Drew Fortescue,0.775
Evan Nause,0.864167
Patrick Thomas,0.878333
Brady Cleveland,0.775
Tyler Madden,0.775
Brandon Svoboda,0.775
Sammy Blais,0.775
Cole Knuble,0.775
Miko Matikka,0.87
Logan Morrison,0.87
Michael Pezzetta,0.8125
Owen Griffin,0.775
Nathan Legare,0.775
Hunter St. Martin,0.828889
Chase Wheatcroft,0.8625
Trenten Bennett,0.775
Josh Filmon,0.838333
Jakub Milota,0.775
Elijah Neuenschwander,0.775
Hiroki Gojsic,0.835
Tomas Hamara,0.803334
Kirill Kirsanov,0.925
Nicholas Moldenhauer,0.775
Otto Salin,0.875
Jayson Shaugabay,0.775
Ty Smith,0.775
Ty Young,0.825
Rodwin Dionicio,0.95
Robby Fabbri,4.0
Trey Fix-Wolansky,0.775
Jean-Luc Foudy,0.8475
Cole Guttman,0.775
Justin Kipkie,0.775
Nick Abruzzese,0.775
Alexander Chmelevski,0.778333
Angus Crookshank,0.775
Jack Rathbone,0.8
Gabe Smith,0.869167
Brayden Tracey,0.863334
Francesco Arcuri,0.825
Ryan Ellis,6.25
Tyler Motte,0.8
Evgeny Kuznetsov,7.8
Quentin Miller,0.775
Matthew Murray,0.775
Samuel Hlavaj,0.875
Marc McLaughlin,0.775
Luke Osburn,0.775
Jamieson Rees,0.775
Max Westergard,0.775
Garin Bjorklund,0.775
Marcus Hogberg,0.775
Isaac Poulter,0.775
Dmitri Kuzmin,0.795556
Javon Moore,0.775
Noel Nordh,0.835
Cole OHara,0.86
Aku Raty,0.89625
Heikki Ruohonen,0.775
Matthew Stienburg,0.775
Melker Thelin,0.775
Jakub Brabenec,0.828333
Graeme Clarke,0.775
Maxmilian Curran,0.775
Mattias Janmark,1.45
Maceo Phillips,0.775
Samuel Savoie,0.846666
Mikhail Abramov,0.809444
Semyon Chistyakov,0.775
Pierre Engvall,3.0
Simon Forsmark,0.775
Brandon Gorzynski,0.775
Jayden Grubbe,0.8675
David Kampf,2.4
Owen Martin,0.775
Jacob Melanson,0.826111
Maxim Schafer,0.775
Logan Couture,8.0
Vyacheslav Peksa,0.851667
Alexandre Blais,0.775
Dominik Bokk,0.863334
Declan Carlile,0.775
Lucas Carlsson,0.8
Gustav Hillstrom,0.775
Drew Schock,0.775
Sandis Vilmanis,0.855
Stanislav Berezhnoy,0.975
Love Harenstam,0.775
Eetu Makiniemi,0.775
Justin Ertel,0.8675
Brett Harrison,0.836667
Mason Moe,0.775
Red Savage,0.775
Tobias Bjornfot,0.775
Noah Gregor,0.775
Vilmer Alriksson,0.831667
Yegor Borikov,0.775
Michael Fisher,0.775
Cross Hanas,0.859167
Benjamin Rautiainen,0.775
Cameron Whitehead,0.875
Wyatt Aamodt,0.775
Fyodor Avramov,0.775
Tomas Poletin,0.775
Andrew Strathmann,0.775
Veeti Vaisanen,0.775
Georgi Romanov,0.775
Everett Baldwin,0.775
Quinn Beauchesne,0.775
Lucas Ellinas,0.875
Artyom Galimov,0.775
Maxim Groshev,0.8675
Emile Guite,0.775
Bruno Idzan,0.775
Kasper Kulonummi,0.775
Matthew Mania,0.775
Mikey Milne,0.775
Harry Nansi,0.775
Riley Patterson,0.923333
Kasper Pikkarainen,0.775
Ethan Wyttenbach,0.775
Aku Koskenvuo,0.85
Viggo Nordlund,0.775
Christopher Pelosi,0.775
Malte Vass,0.775
James Reimer,1.0
Shane Bowers,0.775
Jonathan Castagna,0.775
Remi Poirier,0.775
Petr Sikora,0.775
Julius Sumpf,0.775
Tomas Nosek,0.775
Jared Davidson,0.8625
Jordan Gustafson,0.83
Gannon Laroque,0.836667
John Leonard,0.775
Nikita Okhotyuk,0.789167
Noah Read,0.775
Ty Voit,0.800556
Alexis Bernier,0.775
Anttoni Honka,0.836667
Trevor Hoskin,0.775
Andrei Loshko,0.87
Nikita Novikov,0.8675
Josh Samanski,0.975
Isaiah Saville,0.849667
Maksymilian Szuber,0.859167
Ryan Merkley,0.863334
Anthony Allain-Samake,0.775
Ludvig Jansson,0.855
Ryder Korczak,0.859167
Ondrej Kos,0.775
Andrei Krutov,0.775
Filip Nordberg,0.775
Ronnie Attard,0.775
Arvid Drott,0.775
Artyom Grushnikov,0.814167
Finn Harding,0.855
Aleksi Heponiemi,0.75
Anton Johansson,0.87
Tanner Ludtke,0.775
Ty Mueller,0.87
Patrik Puistola,0.775
Carter Savoie,0.925
Wilson Bjorck,0.775
Austin Burnevik,0.775
Alexis Gendron,0.86
Keaton Middleton,0.775
Olivier Nadeau,0.836667
Will Reynolds,0.775
Jake Richard,0.775
Yegor Yegorov,0.775
Lirim Amidovski,0.775
Kale Dach,0.775
Dillon Dube,2.3
David Gustafsson,0.835
Stepan Hoch,0.775
Jacob Julien,0.895
Kevin Mandolese,0.775
Topias Vilen,0.836667
Alex Formenton,0.7475
Josh Bloom,0.836667
Jorian Donovan,0.796666
Rasmus Kupari,1.0
Connor Kurth,0.87
Gavin McCarthy,0.775
Aidan Park,0.775
Cal Petersen,0.775
William Trudeau,0.775
Ryan Tverberg,0.851667
Simon Zether,0.775
Skyler BrindAmour,0.775
Chase Cheslock,0.775
Kenny Connors,0.8675
Linus Funck,0.775
Matyas Melovsky,0.775
Teddy Mutryn,0.775
Servac Petrovsky,0.775
Felix Sandstrom,0.775
Riley Duran,0.8675
Jake Furlong,0.841666
Rudy Guimond,0.775
Timur Kol,0.775
Mads Kongsbak Klyvo,0.775
Isak Posch,0.8725
Jesse Puljujarvi,0.775
Ilya Safonov,0.775
Ivan Zhigalov,0.775
Ryan Conmy,0.775
Jaden Lipinski,0.775
Harrison Meneghin,0.8725
Joey Muldowney,0.775
Ludwig Persson,0.814999
Michal Postava,0.975
Kevin Reidler,0.775
Tucker Robertson,0.87
Dylan Roobroeck,0.85
Riley Tufte,0.775
Maxim Agafonov,0.775
Owen Allard,0.869167
Christian Kirsch,0.775
Landon Miller,0.775
Zion Nybeck,0.775
Timofei Obvintsev,0.775
Keith Petruzzelli,0.8175
Will Sharpe,0.775
Trent Swick,0.85
Jared Woolley,0.875
Jacob Moverare,0.775
Ryan ORourke,0.855834
Semyon Der-Arguchintsev,0.766666
Stepan Gorbunov,0.775
Kaden Hammell,0.865833
Carlos Handel,0.775
Mike Hardman,0.775
Juha Jatkola,0.775
Viliam Kmec,0.775
Ian Mitchell,0.775
Shamar Moses,0.775
Nathan Smith,0.775
Jack Studnicka,0.775
Spencer Martin,0.775
Yaniv Perets,0.805
Nathan Aspinall,0.925
William Belle,0.775
Vashek Blanar,0.775
Alexis Cournoyer,0.775
Justin Holl,3.4
Ollie Josephson,0.775
Dalyn Wakely,0.775
Jaret Anderson-Dolan,0.775
Ty Gallagher,0.775
Sam Lipkin,0.851667
Noah Powell,0.775
Jan Bednar,0.775
Jansen Harkins,0.7875
Andreas Athanasiou,4.25
Roman Bausov,0.775
Hagen Burrows,0.775
Lucas Ciona,0.83
Ethan Edwards,0.925
Max Jones,1.0
Martin Kaut,0.863334
Maxim Mayorov,0.775
Samuel Meloche,0.775
Zachary Nehring,0.775
William Nicholl,0.775
Daniil Orlov,0.775
Miroslav Satan,0.775
Matthew Seminoff,0.85
Kyle Burroughs,1.1
Theodor Niederbach,0.775
Nathaniel Day,0.856667
Travis Hayes,0.775
Alex Jefferies,0.8675
Ludvig Johnson,0.775
Sam Laurila,0.775
Jimmy Lombardi,0.775
Sam Morton,0.775
Zam Plante,0.775
Ethan Samson,0.846667
Arno Tiefensee,0.85
Joseph Willis,0.86
Oliver Kylington,1.05
Jakub Lauko,0.7875
Jay OBrien,0.775
Matthew Phillips,0.775
Jesse Ylonen,0.775
Jackson Hallum,0.925
Akito Hirose,0.7875
Oiva Keskinen,0.86
Angus MacDonell,0.85
Xavier Simoneau,0.855
Liam Dower Nilsson,0.775
Vladislav Firstov,0.925
Marc-Andre Fleury,2.5
Mikhail Fyodorov,0.775
Michael McLeod,1.4
Oskar Pettersson,0.835
Talyn Boyko,0.775
Vyacheslav Buteyets,0.8525
Andreas Englund,0.775
Oskar Jellvik,0.775
Ivan Tkach-Tkachenko,0.775
Oskar Vuollet,0.775
Alex Beaucage,0.878333
Shea Busch,0.775
Jack Campbell,0.775
Jaroslav Chmelar,0.8675
Denis Gabdrakhmanov,0.775
Sam Harris,0.775
Brent Johnson,0.775
Brody Lamb,0.775
Filip Larsson,0.775
Viktor Norringer,0.775
Colton Roberts,0.775
Matt Kiersted,0.775
Daniel Sprong,0.975
Jiri Felcman,0.775
Alexander Siryatsky,0.775
Paul Fischer,0.775
Beckett Hendrickson,0.775
Veeti Miettinen,0.775
Nathan Quinn,0.775
Ty Smilanic,1.75
Gabriel Szturc,0.87
Gage Alexander,0.81
Marek Alscher,0.865
Jakub Demek,0.851683
Jackson Parsons,0.829167
Keaton Verhoeff,0.775
Chase Wutzke,0.955833
Nicolas Beaudin,0.775
Jakub Fibigr,0.775
James Hamblin,0.775
Ethan Miedema,0.775
Jesse Nurmi,0.838333
Tyler Tullio,0.823333
Hunter Jones,0.7875
Brett Leason,0.775
Cade Webber,0.825
Asher Barnett,0.775
Niilopekka Muhonen,0.85
Aaron Pionk,0.775
Daniil Pylenkov,0.775
Joona Vaisanen,0.775
Kirill Yemelyanov,0.775
Mason Beaupit,0.775
Daniil Chayka,0.825
Lucas Edmonds,0.861667
Connor Ungar,0.86
George Fegaras,0.775
Gabriel Fortier,0.775
Jeremy Hanzel,0.851667
Aatu Jamsen,0.8525
Nate Misskey,0.775
Viktor Neuchev,0.87
Melvin Novotny,0.775
Austin Roest,0.845
Brent Solomon,0.775
Ethan Bear,0.775
Lukas Parik,0.775
Melvin Strahl,0.775
Walker Duehr,0.775
Andre Gasseau,0.775
Patrick Giles,0.775
Jan Golicic,0.775
Santeri Hatakka,0.775
Caeden Herrington,0.775
Juha Jaaska,0.775
Matous Kucharcik,0.775
Olof Lindbom,0.855
Connor Mackey,0.775
Ilya Pautov,0.775
Yegor Rimashevskiy,0.775
Jonas Rondbjerg,0.775
Roman Schmidt,0.805833
Hoyt Stanley,0.775
James Stefan,0.87
Louka Cloutier,0.775
Olof Glifford,0.775
Kasper Simontaival,0.775
Jakub Vrana,0.775
Dylan Coghlan,0.775
Edison Engle,0.775
Atte Joki,0.775
Kyle Masters,0.865
Luca Munzenberger,0.775
Graham Sward,0.775
Jordan Charron,0.775
Alexandre Doucet,0.87
Elliott Groenewold,0.775
Ben Hemmerling,0.821111
Samuel Johannesson,0.87
Joona Koppanen,0.775
Roman Luttsev,0.775
Dylan MacKinnon,0.775
Anton Olsson,0.775
Dustin Tokarski,0.775
Matt Tomkins,0.775
Parker Bell,0.8575
Landon Dupont,0.775
Dennis Gilbert,0.875
Maxence Guenette,0.775
Vinni Lettieri,0.775
Marcel Marcel,0.775
Pavol Regenda,0.775
Kristian Vesalainen,0.894167
Nick DeSimone,0.8
Ilya Kanarsky,0.775
Tyler Muszelik,0.775
Karl Annborn,0.775
Cameron Berg,0.775
Jacob Gaucher,0.8725
Taylor Gauthier,0.859167
Dmitri Isayev,0.775
Dylan Peterson,0.8675
Mason Shaw,0.775
Konnor Smith,0.855
Carter Sotheran,0.775
Bogdan Trineyev,0.775
Nikita Quapp,0.775
Ivan Yunin,0.775
Kieffer Bellows,0.775
Chase Bradley,0.8725
Dennis Cholowski,0.775
Jan Chovan,0.775
Connor Clattenburg,0.828333
Dyllan Gill,0.87
Justin Gill,0.775
Taige Harding,0.88
Ryan Healey,0.775
Cole McWard,0.775
Ryan Miller,1.0
Luke Prokop,0.793333
Ivar Stenberg,0.775
Bode Wilde,0.764167
Visa Vedenpaa,0.775
Luke Ashton,0.775
Brad Gardiner,0.775
John Ludvig,0.775
Ilyas Magomedsultanov,0.775
Luke Mittelstadt,0.775
Jonathan Morello,0.775
Jason Polin,0.775
Chris Driedger,0.795
Terrell Goldsmith,0.836111
Tanner Henricks,0.775
Carter Klippenstein,0.775
Connor Levis,0.775
Mats Lindgren,0.775
Zeb Lindgren,0.775
Markus Loponen,0.775
Sam McCue,0.775
Hunter McKown,0.8
Eamon Powell,0.775
Isaac Ratcliffe,0.81375
Ronan Seeley,0.81375
Kai Uchacz,0.845
Kalle Vaisanen,0.863333
Nikita Yevseyev,0.775
Aidan Hreschuk,0.775
Daniil Karpovich,0.775
Arseni Koromyslov,0.775
Vladislav Lukashevich,0.775
Riley Mercer,0.82
Mattias Norlinder,0.859167
Alex Pharand,0.775
Kaden Pitre,0.775
Nikita Susuyev,0.855
Jesper Vikman,0.858
Reilly Walsh,0.775
Logan Brown,0.775
Kyle Capobianco,0.775
Cam Dineen,0.775
Jake Fisher,0.775
Jonathan Gruden,0.775
Brandon Halverson,0.775
Parker Holmes,0.775
Mikulas Hovorka,0.95
Klim Kostin,2.0
Veeti Louhivaara,0.775
Nick Malik,0.775
Hudson Malinoski,0.775
Daniel Nieminen,0.775
Jordan Oesterle,0.775
Hugo Ollas,0.855
Tory Pitner,0.775
Henrik Tikkanen,0.82375
Xavier Veilleux,0.775
Yegor Velmakin,0.775
Gleb Veremyev,0.885
Riley Damiani,0.775
Elliot Desnoyers,0.825
Mack Guzda,0.8975
Nicolas Aube-Kubel,0.775
Isaac Belliveau,0.875
Brandon Biro,0.775
Marcus Bjork,0.775
Simon-Pier Brunet,0.775
Brandon Coe,0.81375
Jackson Edward,0.831667
Jani Hakanpaa,1.47
Boko Imama,0.775
Emil Jarventie,0.775
Ilya Konovalov,0.8425
Yaroslav Korostelyov,0.775
Jake Livingstone,0.775
Jared McIsaac,0.7875
James Reeder,0.775
Jakub Rychlovsky,0.87
Ashton Schultz,0.775
Darels Uljanskis,0.775
Shea Weber,7.857143
Filip Johansson,0.88375
Matthew Andonovski,0.836666
Jack Bar,0.775
Angus Booth,0.826667
Kale Clague,0.775
Joshua Davies,0.828333
MacKenzie Entwistle,0.775
Lucas Forsell,0.775
Marc-Andre Gaudet,0.8025
Hunter Laing,0.775
Brandon Lisowsky,0.775
Ryan Mast,0.830556
Robert Mastrosimone,0.775
Jack Matier,0.801667
Hunter McDonald,0.95
Tyler Peddle,0.775
Cole Spicer,0.775
John Whipple,0.775
Zayde Wisdom,0.7975
Jack Dugan,0.775
Julien Gauthier,0.775
Damien Giroux,0.818333
Leo Loof,0.8675
Carsen Musser,0.775
Charlie Paquette,0.775
Chase Pietila,0.86
Alexander Plesovskikh,0.775
Guillaume Richard,0.8675
Ryder Rolston,0.895
Sebastian Soini,0.775
Tuukka Tieksola,0.823333
Lucas Van Vliet,0.775
Ryan Walsh,0.775
Max Wanner,0.828333
Ethan Belchetz,0.775
Pierrick Dube,0.87
Zeb Forsfjall,0.775
Daimon Gardner,0.775
Ryan Hofer,0.851667
Larry Keenan,0.775
Dmitri Kostenko,0.775
Jacob Kvasnicka,0.775
Noah Laberge,0.775
Ben MacDonald,0.775
Mathias Emilio Pettersen,0.775
Joona Saarelainen,0.775
Djibril Toure,0.805
Nikita Tyurin,0.775
Eemil Viro,0.828333
Abram Wiebe,0.775
Erik Kallgren,0.775
Owen Beckner,0.775
Cole Brown,0.775
Lucas Condotta,0.775
Ryan Fanti,0.775
Caleb Heil,0.775
Carter King,0.8725
Tanner Laczynski,0.775
Max McCue,0.858333
Ryan Rucinski,0.775
Brady Stonehouse,0.821667
Ryan Suter,0.775
Theo Wallberg,0.775
Stanislav Yarovoi,0.775
Robert Orr,0.775
Ryan Roobroeck,0.775
Filip Zadina,1.1
Colby Ambrosio,0.775
Richard Gallant,0.775
Max Heise,0.775
Rasmus Korhonen,0.775
Simon Lundmark,0.775
Filip Roos,0.775
Stiven Sardarian,0.775
Christoffer Sedoff,0.87
Fabian Wagner,0.830556
Simon Zajicek,0.8725
Danil Aimurzin,0.775
Vasili Atanasov,0.775
Viggo Bjorck,0.775
Jake Leschyshyn,0.775
Matt Benning,1.25
Josh Brown,1.0
Travis Dermott,0.775
Max Gildon,0.775
Cedrick Guindon,0.775
Carter Gylander,0.855
Mikko Kokkonen,0.846667
Jeremy Langlois,0.775
William McIsaac,0.775
Erik Pahlsson,0.775
Yevgeni Prokhorov,0.775
David Rozsival,0.775
Mikus Vecvanags,0.775
Samuel Walker,0.775
Albert Wikman,0.775
Joey Anderson,0.8
Axel Andersson,0.7725
Maxim Barbashev,0.775
Emil Bemstrom,0.775
Gregor Biber,0.775
Blake Biondi,0.775
Damien Carfagna,0.8625
Phillip Di Giuseppe,0.775
Oliver Johansson,0.775
Nolan Lalonde,0.785556
Kasper Puutio,0.775
Conner Roulette,0.775
Daniel Salonen,0.775
Roman Shokhrin,0.775
Craig Smith,1.0
Ben Steeves,0.95
Filip Barklund,0.775
Noah Beck,0.975
Andrei Buyalsky,0.775
Gabe Chiarot,0.916667
David Farrance,0.925
Josef Korenar,0.75
Ben McCartney,0.775
Dmitri Ovchinnikov,0.775
Givani Smith,0.775
Daniel Torgersson,0.8675
Gavin White,0.8575
Calvin de Haan,0.775
Jon-Randall Avon,0.8
Braeden Bowman,0.8375
T.J. Brodie,3.75
Alexander Campbell,0.775
Cal Foote,0.8
Charlie Forslund,0.775
Cooper Gay,0.8725
Loke Johansson,0.831667
Makar Khanin,0.775
Dysin Mayo,0.775
Tyce Thompson,0.775
Luke Vlooswyk,0.775
Dylan Wendt,0.87
Oasiz Wiesblatt,0.775
Jake Wise,0.775
Leevi Aaltonen,0.775
Kevin Bicker,0.775
Jake Chiasson,0.843333
Tye Felhaber,0.775
Aiden Foster,0.775
Alex Gagne,0.91
David Gucciardi,0.855
Magnus Hellberg,0.775
Alexander Khovanov,0.811667
Kevin Labanc,0.775
Ondrej Pavel,0.87
Rhett Pitlick,0.775
Sampo Ranta,0.925
Lukas Rousek,0.775
Robin Salo,0.8
Hunter Skinner,0.775
Jacob Truscott,0.775
Maxime Comtois,0.775
Nikita Ishimnikov,0.775
Artemi Kniazev,0.789167
Eetu Liukas,0.8675
Aidan McDonough,0.925
Owen McLaughlin,0.775
Carson Meyer,0.775
Lauri Pajuniemi,0.88375
John Prokop,0.875
Milo Roelens,0.87
Zachary Sawchenko,0.775
Jimmy Schuldt,0.775
Tomas Tatar,1.8
Trey Taylor,0.975
T.J. Tynan,0.775
Taylor Ward,0.775
Mitchell Gibson,0.775
Alexander Pashin,0.826667
Kevin Rooney,0.775
Travis Boyd,0.775
Chase Clark,0.775
Emmett Croteau,0.775
Philippe Daoust,0.821667
Mikael Diotte,0.95
Hardy Haman Aktell,0.775
Jack Harvey,0.775
Eric Jamieson,0.775
Maximilian Kilpinen,0.775
Gustav Lindstrom,0.775
Marco Mignosa,0.775
Vladimir Nikitin,0.775
Serron Noel,0.894167
Victor Stjernborg,0.775
Kirill Tankov,0.775
Anson Thornton,0.795556
Andrei Trofimov,0.775
Eerik Wallenius,0.775
Patrick Brown,0.775
Nick Cicek,0.775
Matt Copponi,0.775
Jackson Dorrington,0.851667
Karl Henriksson,0.87
Matthew Highmore,0.775
Antoine Keller,0.775
Braeden Kressler,0.800556
Jack Lafontaine,0.910909
William Lockwood,0.775
Juho Markkanen,0.775
Nathan Mayes,0.775
Lucas Mercuri,0.89625
Yegor Midlak,0.775
Jonathan Myrenberg,0.7625
Henrik Rybinski,0.775
Dominik Shine,0.775
Austin Watson,0.775
Alex Weiermair,0.775
Cam Atkinson,0.9
Dalton Bancroft,0.95
Joni Jurmo,0.85
Trevor Kuntar,0.8675
Sheldon Rempal,0.775
Vitaly Abramov,0.730833
Parker Alcos,0.775
Dominic Basse,0.775
Guillaume Brisebois,0.775
Cole Chandler,0.775
Tanner Dickinson,0.826667
Hudson Fasching,0.775
Barrett Hall,0.775
Matthew Mayich,0.775
Evan Passmore,0.775
Lleyton Roed,0.87
Dawson Sharkey,0.775
Owen Sillinger,0.775
Landon Sim,0.775
Santeri Sulku,0.775
Miguel Tourigny,0.775
Brock McGinn,2.75
Ben Roger,0.775
Jonathan Tychonick,0.775
Brennan Ali,0.775
Lias Andersson,0.775
Samu Bau,0.775
Louie Belpedio,0.775
Garrett Brown,0.775
Joe Connor,0.775
Alex Cotton,0.775
Cooper Foster,0.775
Petr Hauser,1.15
Lucas Johansen,0.7625
Ben King,0.775
Ben Kraws,0.775
William Lagesson,0.775
Juho Lammikko,0.8
Axel Landen,0.775
Matthew Lansing,0.775
Jacob MacDonald,0.775
Nikolai Makarov,0.775
Mason Morelli,0.775
