Player,Team,Roster Status,Status,Cap Hit (M$)
Ukko-Pekka Luukkonen,BUF,Reserve,Doumi,4.75
Aliaksei Protas,WSH,Active,Doumi,3.375
Axel Sandin Pellikka,DET,Minors,Doumi,0.918333
Quinn Hughes,VAN,Active,Doumi,7.85
Roman Josi,NSH,Inj Res,Doumi,9.059
Linus Ullmark,OTT,Active,Doumi,8.25
Zach Benson,BUF,Minors,Doumi,0.95
Brayden Point,TBL,Reserve,Doumi,9.5
Filip Hronek,VAN,Active,Doumi,7.25
Erik Karlsson,PIT,Active,Doumi,11.5
Seamus Casey,NJD,Minors,Doumi,0.95
Matt Boldy,MIN,Active,Doumi,0.775
Juuse Saros,NSH,Active,Doumi,7.74
Elias Pettersson,VAN,Active,Doumi,11.6
Filip Forsberg,NSH,Reserve,Doumi,8.5
Tage Thompson,BUF,Active,Doumi,7.142857
Alexander Nikishin,CAR,Active,Doumi,0.925
J.T. Miller,NYR,Reserve,Doumi,8.0
Clayton Keller,UTA,Active,Doumi,7.15
Kirill Kaprizov,MIN,Active,Doumi,9.0
,,,TOTAL POUR Doumi,130.66
Adrian Kempe,LAK,Active,Fred_Lan,5.5
Alex Tuch,BUF,Reserve,Fred_Lan,4.75
Michael Misa,SJS,Minors,Fred_Lan,0.975
Anton Silayev,NJD,Minors,Fred_Lan,0.775
Josh Doan,BUF,Minors,Fred_Lan,0.925
Nick Schmaltz,UTA,Active,Fred_Lan,5.85
Cole Reschny,CGY,Minors,Fred_Lan,0.775
Carter Yakemchuk,OTT,Minors,Fred_Lan,0.9425
Jake Neighbours,STL,Inj Res,Fred_Lan,3.75
Jimmy Snuggerud,STL,Minors,Fred_Lan,0.95
Emil Heineman,NYI,Reserve,Fred_Lan,1.1
Mark Scheifele,WPG,Active,Fred_Lan,8.5
Brayden Yager,WPG,Minors,Fred_Lan,0.918333
Gabriel Vilardi,WPG,Active,Fred_Lan,7.5
Jared McCann,SEA,Active,Fred_Lan,5.0
Jake Walman,EDM,Active,Fred_Lan,3.4
Sebastian Aho,CAR,Active,Fred_Lan,9.75
Connor Hellebuyck,WPG,Active,Fred_Lan,8.5
KAndre Miller,CAR,Active,Fred_Lan,7.5
John Klingberg,SJS,Active,Fred_Lan,4.0
Filip Gustavsson,MIN,Active,Fred_Lan,3.75
Dougie Hamilton,NJD,Reserve,Fred_Lan,9.0
Cameron Reid,NSH,Minors,Fred_Lan,0.775
Mark Stone,VGK,Inj Res,Fred_Lan,9.5
Aaron Ekblad,FLA,Active,Fred_Lan,6.1
Beckett Sennecke,ANA,Reserve,Fred_Lan,0.9425
Cayden Lindstrom,CBJ,Minors,Fred_Lan,0.775
Cole Eiserman,NYI,Minors,Fred_Lan,0.775
,,,TOTAL POUR Fred_Lan,99.73
Zach Werenski,CBJ,Active,MagicFac,9.583333
Tyler Bertuzzi,CHI,Reserve,MagicFac,5.5
Tyson Foerster,PHI,Minors,MagicFac,3.75
Jordan Kyrou,STL,Reserve,MagicFac,8.125
