"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*06bap*","Easton Cowan","TOR","F","479","DJCarrot","Minors","20","CGY Tue 6:00PM","20.5","3.42","37%","-4.6%"
"*04ai3*","Kevin Lankinen","VAN","G","486","Pouding_","Reserve","30","NYR Tue 10:00PM","20.35","5.09","29%","-6.3%"
"*0529k*","Yaroslav Askarov","SJS","G","492","Mando18","Minors","23","LAK Tue 11:00PM","19.9","3.98","58%","-5%"
"*03mkm*","Adin Hill","VGK","G","493","DJCarrot","Reserve","29","@CAR Tue 6:30PM","19.55","3.91","92%","-2.6%"
"*04ymm*","Aatu Raty","VAN","F","509","SamBleau","Minors","22","NYR Tue 10:00PM","19","2.38","19%","-3%"
"*05ran*","Matt Coronato","CGY","F","521","Boeuf_","Minors","22","@TOR Tue 6:00PM","17.5","1.94","51%","-6.1%"
"*067xz*","Axel Sandin Pellikka","DET","D","532","Doumi","Minors","20","@STL Tue 8:15PM","17","1.89","44%","-4.4%"
"*03wpo*","Dante Fabbro","CBJ","D","541","Bigdawn","Active","27","@BUF Tue 6:45PM","16","2","13%","-3%"
"*061im*","Michael Misa","SJS","F","554","Fred_Lan","Minors","18","LAK Tue 11:00PM","15.5","3.1","58%","-2.7%"
"*03rfp*","Sam Montembeault","MTL","G","555","Boeuf_","Active","28","@SEA Tue 10:30PM","15.45","3.09","87%","-5.6%"
"*05yli*","Pavel Mintyukov","ANA","D","561","Bigdawn","Minors","21","@FLA Tue 7:00PM","15","1.88","36%","-3%"
"*065nx*","Berkly Catton","SEA","F","565","Olilapat","Minors","19","MTL Tue 10:30PM","14.5","3.62","39%","-3.5%"
"*01zu8*","John Klingberg","SJS","D","580","Fred_Lan","Inj Res","33","LAK Tue 11:00PM","13.5","4.5","42%","-5.2%"
"*04yg5*","Jesper Wallstedt","MIN","G","581","DJCarrot","Minors","22","WPG Tue 8:00PM","13.05","4.35","42%","-6.9%"
"*01skq*","Cam Fowler","STL","D","590","Bigdawn","Reserve","33","DET Tue 8:15PM","12.5","1.39","62%","-5.5%"
"*04qxy*","Alexander Romanov","NYI","D","591","Mando18","Active","25","@BOS Tue 7:15PM","12.5","3.12","37%","-3.6%"
"*01d6c*","Jacob Markstrom","NJD","G","595","DJCarrot","Active","35","@COL Tue 9:00PM","12.05","4.02","90%","-2%"
"*06hco*","Zayne Parekh","CGY","D","600","DJCarrot","Minors","19","@TOR Tue 6:00PM","12","1.5","72%","-3.6%"
"*03wpi*","Pierre-Luc Dubois","WSH","F","662","Mando18","Reserve","27","@DAL Tue 8:30PM","6.5","1.62","61%","-4.2%"
"*05oxl*","Leevi Merilainen","OTT","G","667","Bigdawn","Minors","23","@CHI Tue 8:45PM","6.25","3.13","30%","-4.5%"
"*05rjg*","Danila Yurov","MIN","F","674","Fred_Lan","Minors","21","WPG Tue 8:00PM","6","0.75","41%","-4%"
"*06rus*","Brady Martin","NSH","F","685","Bigdawn","Minors","18","TBL Tue 7:45PM","5","1.67","34%","-3.4%"
"*06amv*","Sam Dickinson","SJS","D","689","Bigdawn","Minors","19","LAK Tue 11:00PM","4.5","0.64","43%","-3.6%"
"*02b76*","Vincent Trocheck","NYR","F","709","Boeuf_","Inj Res","32","@VAN Tue 10:00PM","3.5","1.75","86%","-1.5%"
"*06axz*","Bradly Nadeau","CAR","F","731","Olilapat","Minors","20","VGK Tue 6:30PM","2","2","28%","-3.1%"
"*03j8l*","Noah Hanifin","VGK","D","735","Fred_Lan","Inj Res","28","@CAR Tue 6:30PM","1.5","1.5","77%","-3%"
"*05k9a*","Emil Andrae","PHI","D","747","SamBleau","Minors","23","PIT Tue 6:00PM","0.5","0.5","12%","-2.2%"
"*0457i*","Ukko-Pekka Luukkonen","BUF","G","750","Doumi","Reserve","26","CBJ Tue 6:45PM","0.1","0.1","63%","-4.2%"
