"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*02noq*","Mike Matheson","MTL","D","115","Mando18","Active","31","","79.5","5.3","85%","+0.5%","15","3","6","11","18","0","0","15","38"
"*05kbn*","Will Cuylle","NYR","F","114","Olilapat","Active","23","NSH Mon 7:00PM","79.5","4.97","66%","+2.5%","16","3","4","-5","40","2","0","53","16"
"*048w3*","Justin Brazeau","PIT","F","113","SamBleau","Inj Res","27","","79.5","6.62","55%","-3.6%","12","6","6","3","22","2","0","17","12"
"*03161*","Darnell Nurse","EDM","D","119","MagicFac","Active","30","CBJ Mon 8:30PM","79","4.94","79%","+0.7%","16","3","4","-4","35","0","1","29","45"
"*015pv*","John Carlson","WSH","D","121","Boeuf_","Active","35","","78.5","5.23","95%","-0.3%","15","4","7","0","34","4","0","7","22"
"*03yg3*","Mikhail Sergachev","UTA","D","123","DaddyX23","Active","27","","78","4.88","99%","+0.2%","16","3","9","-2","28","5","0","5","28"
"*042w4*","Adam Fox","NYR","D","124","DJCarrot","Active","27","NSH Mon 7:00PM","77.5","4.84","100%","0%","16","3","8","-1","36","2","1","9","25"
"*02422*","Ryan Nugent-Hopkins","EDM","F","126","Boeuf_","Active","32","CBJ Mon 8:30PM","77.5","4.84","94%","-0.1%","16","5","11","-11","23","9","0","7","4"
"*02np6*","Jake McCabe","TOR","D","129","MagicFac","Active","32","","77","4.81","36%","+6.5%","16","2","7","10","13","0","0","21","38"
"*04ymt*","Lucas Raymond","DET","F","134","DJCarrot","Active","23","","76","5.43","98%","-0.1%","14","4","9","3","28","4","0","6","6"
"*04lo0*","Quinton Byfield","LAK","F","131","MagicFac","Minors","23","","76","4.75","91%","-1.2%","16","2","10","-1","36","5","1","15","5"
"*04yqp*","Anton Lundell","FLA","F","133","Boeuf_","Active","24","@VGK Mon 10:00PM","76","5.07","69%","-0.6%","15","4","7","-1","28","4","2","12","14"
"*03rfl*","Anthony Cirelli","TBL","F","132","Boeuf_","Inj Res","28","","76","5.43","64%","+1.1%","14","7","4","6","21","2","0","8","11"
"*03wpm*","Charlie McAvoy","BOS","D","137","Pleka","Active","27","","75.5","4.72","94%","+0.4%","16","0","12","-2","21","4","0","24","26"
"*02uws*","Mathew Barzal","NYI","F","135","Pouding_","Active","28","@NJD Mon 7:00PM","75.5","5.39","87%","0%","14","3","9","7","29","3","0","4","11"
"*01c13*","Victor Hedman","TBL","D","138","Pleka","Active","34","","75","5","99%","0%","15","0","12","1","23","6","0","7","28"
"*02aez*","J.T. Miller","NYR","F","141","Doumi","Reserve","32","NSH Mon 7:00PM","75","4.69","98%","-0.5%","16","3","5","-3","44","2","0","40","6"
"*016g3*","Erik Karlsson","PIT","D","139","Doumi","Active","35","","75","4.41","89%","+1.3%","17","1","11","6","35","3","0","0","18"
"*051tx*","Aliaksei Protas","WSH","F","142","Doumi","Active","24","","75","5","87%","-2.8%","15","5","5","6","36","1","0","8","11"
"*0457f*","Nico Hischier","NJD","F","145","Bigdawn","Active","26","NYI Mon 7:00PM","74.5","4.97","98%","-0.6%","15","3","8","4","27","3","0","8","19"
"*004cq*","Alex Ovechkin","WSH","F","148","SamBleau","Reserve","40","","74.5","4.97","94%","-0.8%","15","3","7","3","35","2","0","29","1"
"*05wwg*","Lane Hutson","MTL","D","153","Bigdawn","Active","21","","74","4.93","100%","0%","15","1","12","3","19","3","0","9","23"
"*02un5*","Sam Reinhart","FLA","F","154","Pleka","Active","30","@VGK Mon 10:00PM","74","4.93","99%","-0.2%","15","7","1","-6","46","2","1","17","12"
"*04zb4*","Moritz Seider","DET","D","155","Pouding_","Active","24","","74","4.62","97%","+0.2%","16","1","5","1","37","5","0","33","21"
